location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Aruba,-0.014097181,0.048584109,-0.026070812,0.013622037,0.334427952,0.172034344,0.112125972,0.146306848,0.159641534,-0.052872324,-0.104107394,-0.017519429
Afghanistan,-0.0104121,-0.089627273,0.000901296,-0.931944988,-0.348351504,-0.233447224,-0.228220218,-0.147565283,0.068894999,-0.052872324,-0.104107394,-0.016009897
Angola,-0.014137447,0.121754841,-0.003310457,-0.986377963,-0.402732169,-0.240241279,-0.226828778,-0.113030515,-0.183675408,-0.052872324,-0.104107394,-0.017531315
Anguilla,-0.014167647,0.162405247,-0.026134567,-0.004946969,-0.094575069,-0.038432365,-0.032611468,-0.019430832,-0.027306565,-0.052872324,-0.104107394,-0.002413825
Albania,-0.013537049,0.016063784,-0.024145578,-0.842003642,0.237751215,0.17601041,0.178414167,-0.061566581,0.090799335,-0.049758087,0.319640959,-0.017186619
Andorra,-0.013623333,-0.032716704,-0.026091308,0.013622037,-0.094575069,-0.038432365,-0.032611468,-0.019430832,-0.003523419,0.449102961,0.12930005,-0.016972669
United Arab Emirates,0.000488548,-0.325399631,-0.019273426,0.013622037,0.116905294,-0.28891914,-0.273358527,0.415667196,0.411764914,-0.184154443,0.123618232,-0.015106554
Argentina,-0.009232874,-0.024586623,0.00525573,0.013622037,0.053461185,0.099191263,0.111513739,-0.000242004,-0.113939154,0.157531207,-0.014165859,-0.013644566
Armenia,-0.011496413,-0.048976867,-0.02408622,0.013622037,0.16826481,0.100503751,0.118749226,-0.08750395,-0.041967764,-0.17732073,0.33242505,-0.016984555
Antigua and Barbuda,-0.014151828,0.064844272,-0.026076952,0.013622037,0.059503481,-0.065448768,-0.044884102,0.021749397,0.228930761,-0.052872324,-0.104107394,-0.017519429
Australia,-0.009154499,-0.341659793,-0.008428409,0.013622037,0.234730067,0.265414,0.261121353,0.22091426,-0.133161327,0.084638268,-0.173256768,-0.016390251
Austria,-0.002691048,-0.081497192,-0.019887603,0.013622037,0.431104689,0.408166365,0.462546187,0.227691128,-0.075941836,0.435435535,0.031288686,-0.010138171
Azerbaijan,-0.012186691,-0.057106948,-0.019100584,0.013622037,0.068566925,-0.100770134,-0.087183874,-0.026786876,-0.041967764,-0.204655582,0.196061414,-0.017139075
Burundi,-0.01415039,0.203055654,-0.017883619,0.013622037,-0.381584132,-0.234180673,-0.2189254,-0.15704082,-0.089352654,-0.052872324,-0.104107394,-0.017543201
Belgium,0.0246447,-0.26035898,-0.01809286,0.013622037,0.35255484,0.383808133,0.41251001,0.203798414,-0.168029454,0.360264692,0.038390959,0.087553551
Benin,-0.013934678,0.081104434,-0.017722142,0.013622037,-0.342309208,-0.207853709,-0.194547373,-0.145327051,-0.315548452,-0.197821869,-0.232915859,-0.017531315
Bonaire Sint Eustatius and Saba,-0.01416549,0.211185735,-0.026126772,0.013622037,-0.094575069,-0.038432365,-0.032611468,-0.019430832,-0.027306565,-0.052872324,-0.104107394,-0.002413825
Burkina Faso,-0.013613986,0.032323946,-0.011621996,0.013622037,-0.378562984,-0.240086868,-0.227051409,-0.148432929,-0.251623553,-0.175042825,-0.068143132,-0.016948897
Bangladesh,-0.001355071,0.016063784,0.088276434,0.013622037,-0.079469329,-0.136284514,-0.121079349,-0.13277271,0.014804699,-0.188710251,0.227311414,-0.014357731
Bulgaria,-0.01268211,0.007933703,-0.021317411,0.013622037,0.440168133,0.4698919,0.436053172,-0.003429293,-0.100081309,0.474159908,0.22305005,-0.016414023
Bahrain,-0.009987867,-0.097757354,-0.024962779,0.013622037,0.068566925,-0.241515164,-0.225437338,0.209234944,0.378684896,-0.079370844,0.126459141,-0.017436227
Bahamas,-0.014102214,0.072974353,-0.025871772,0.013622037,0.125968738,0.014188368,-0.013214931,0.07530294,0.228930761,-0.14087426,-0.117859041,-0.017424341
Bosnia and Herzegovina,-0.012601577,-0.00832646,-0.023865574,0.013622037,0.373702877,0.306525755,0.293514073,-0.062336622,0.090799335,0.476437812,0.26992505,-0.016128757
Belarus,0.004399407,-0.065237029,-0.019579875,0.013622037,0.30723762,0.238199177,0.242142113,-0.015429703,-0.128244027,0.02769066,0.247197777,-0.015819719
Belize,-0.014156861,0.138015003,-0.025868734,0.013622037,-0.15499803,-0.184344734,-0.175790764,-0.095787961,0.405059505,-0.052872324,-0.104107394,-0.017531315
Bermuda,-0.0140828,0.105494678,-0.026101724,0.013622037,-0.094575069,-0.038432365,-0.032611468,0.27269356,0.221331297,-0.052872324,-0.104107394,-0.017459999
