location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Aruba,-0.017621678,0.06485482,-0.029902516,0.016006815,0.308641313,0.150258872,0.090262796,0.131323046,0.176023943,-0.063476057,-0.107999285,-0.020128302
Afghanistan,-0.013936586,-0.073356562,-0.002930329,-0.92956021,-0.374138143,-0.255222696,-0.250083395,-0.162652707,0.079495174,-0.063476057,-0.107999285,-0.018618769
Angola,-0.017661944,0.138025552,-0.007142094,-0.983993185,-0.428518807,-0.262016751,-0.248691955,-0.128105762,-0.189168639,-0.063476057,-0.107999285,-0.020140188
Albania,-0.017061544,0.032334495,-0.027977276,-0.839618864,0.211964576,0.154234938,0.156550991,-0.076623681,0.102795222,-0.061789532,0.32790518,-0.019795491
Andorra,-0.017147829,-0.016445993,-0.029923012,0.016006815,-0.118357292,-0.058187857,-0.0524208,-0.03351965,0.002462364,0.437071516,0.131998747,-0.019581542
United Arab Emirates,-0.003035907,-0.30912892,-0.02310511,0.016006815,0.091118655,-0.310694612,-0.295221704,0.400778373,0.444212245,-0.196185887,0.126150794,-0.017715427
Argentina,-0.012757357,-0.008315912,0.001424117,0.016006815,0.027674546,0.077415791,0.089650562,-0.01527748,-0.114988896,0.145499762,-0.015662072,-0.016253438
Armenia,-0.015020902,-0.032706156,-0.027917918,0.016006815,0.142478171,0.078728279,0.096886049,-0.102570196,-0.038431597,-0.189352174,0.341063074,-0.019593428
Antigua and Barbuda,-0.017676325,0.081114983,-0.029908656,0.016006815,0.033716842,-0.08722424,-0.066747278,0.006721674,0.249728175,-0.063476057,-0.107999285,-0.020128302
Australia,-0.012678982,-0.325389082,-0.012260062,0.016006815,0.208943428,0.243638528,0.239258176,0.205956765,-0.135435877,0.072606824,-0.179404762,-0.018999124
Austria,-0.006215512,-0.065226481,-0.023719289,0.016006815,0.405318051,0.386390893,0.44068301,0.212736023,-0.074570446,0.42340409,0.031121554,-0.012747044
Azerbaijan,-0.015711183,-0.040836237,-0.022932267,0.016006815,0.042780286,-0.122545606,-0.10904705,-0.041831712,-0.038431597,-0.216687026,0.200712197,-0.019747947
Burundi,-0.017674887,0.219326365,-0.021715299,0.016006815,-0.407370771,-0.255956145,-0.240788576,-0.172131585,-0.088835781,-0.063476057,-0.107999285,-0.020152074
Belgium,0.021120315,-0.244088269,-0.02192454,0.016006815,0.326768202,0.362032661,0.390646833,0.188834884,-0.172525748,0.348233247,0.038431495,0.084944679
Benin,-0.017459174,0.097375145,-0.021553822,0.016006815,-0.368095847,-0.229629181,-0.21641055,-0.160413686,-0.329444436,-0.209853313,-0.240808271,-0.020140188
